y	x1	x2	x3	x4	x5	x6	x7	x8
207.48	0.28	10	25.39	1	4.32	B	108.72	10.57
214.37	0.83	12	26.34	12	5.5	D	108.84	10.09
203.73	0.12	5	28.38	1	5.8	B	97.75	10.25
191.74	0.86	6	26.3	2	5.13	C	96.79	8.7
195.12	0.12	7	23.28	7	4.51	C	93.42	9.59
187.23	0.17	10	22.37	3	5.96	B	88.21	9.62
207.01	0.26	10	23.95	11	4.8	C	109.39	9.86
184.91	0.26	7	25.55	18	4.98	B	78.23	10.76
200.3	0.25	9	27.59	4	5.8	A	80.29	10.56
225.57	0.85	5	22.91	0	5.22	A	111.04	10.26
209.24	0.43	8	23.75	0	5.53	A	89.9	9.85
228.82	0.57	10	24.52	28	5.67	A	111.15	9.84
204.32	0.96	6	21.34	1	6.01	B	94.27	11.27
213.25	0.62	12	28.9	2	3.44	D	99.72	8.32
220.25	0.66	7	25.41	3	5.97	C	105.86	9.85
220.47	0.91	10	27.21	0	6.89	C	107.89	9.71
180.72	0.17	13	25.56	1	5	B	82.3	10.24
231.67	0.14	9	26.41	12	6.56	A	105.48	9.96
188.79	0.56	17	24.76	0	3.91	A	98.56	9.5
194.01	0.61	7	23.26	4	4.88	A	100.26	9.94
209.83	0.38	10	28.82	2	4.27	B	95.8	9.69
176.03	0.19	9	28.19	2	3.32	B	84.7	10.33
205.81	0.99	11	26.06	6	5.49	D	97.94	10.04
214.66	0.31	10	25.11	14	4.49	C	98.91	10.63
220.08	0.59	12	23.29	3	4.59	D	107.01	8.94
201.54	0.15	11	20.36	8	4.21	D	81.73	11.48
223.49	0.03	14	23.63	3	4.66	D	116.61	10.56
225.27	0.28	6	28.1	13	4.35	C	110.38	10.11
200.02	0.41	17	26.89	4	3.19	D	110.35	8.5
197.48	0.04	4	24.62	0	5.25	D	85.37	10
216.05	0.43	6	23.69	3	4.88	A	107.19	9.03
193.91	0.81	15	24.11	8	5.24	C	80.54	9.67
201.72	0.11	9	23.24	5	5.28	B	97.12	9.87
215.28	0.98	11	23.83	1	4.34	B	95.59	10.47
200.11	0.67	8	25.08	0	4.54	B	87.58	10.22
183.86	0.97	9	26.21	5	5.8	A	84.86	8.91
216.32	0.2	9	27.86	0	5.24	C	103.21	9.43
203.01	0.95	8	25.17	1	5.51	D	98.25	9.47
238.23	0.13	12	22.18	1	6.17	D	122.76	10.73
218.35	0.91	5	26.63	4	5.65	D	101.84	9.04
203.12	0.22	14	22.52	1	5.4	A	108	10.58
195.75	0.84	11	25.36	6	5.93	A	103.98	10.45
195.95	0.32	10	27.76	1	6.53	C	90.21	11.39
221.25	0.87	9	23.86	0	5.07	A	105.77	11.29
217.87	0.95	13	23.22	2	3.53	D	108.02	10.96
223.14	0.58	13	26.24	1	5.02	C	104.5	9.82
212.81	0.15	12	23.16	5	5.34	A	107.76	8.68
217.64	0.27	12	26.21	3	4.43	D	102.29	10.58
203.51	0.27	13	26.2	3	5.45	C	101.01	9.79
201.6	0.73	11	20.87	6	4.89	B	94.79	9.59
223.95	0.56	12	22.32	4	5.81	B	108.58	9.85
223.47	0.06	6	24.48	1	3.65	A	117.14	10.46
192.9	0.35	10	21.58	1	5.29	D	91.5	9.09
205.62	0.7	15	23.52	3	5.31	A	97	9.43
225.85	0.77	11	23.09	1	4.74	B	111.71	9.97
208.4	0.96	15	23.76	0	5.85	B	94.4	9.31
201.74	0.96	11	24.26	1	3.91	B	100.03	10.29
207.9	0.6	13	24.65	0	5.48	A	96.54	10.53
205.63	0.48	11	23.97	1	6.27	B	99.24	9.78
210.06	0.98	11	25.49	0	6.02	D	89.85	10.95
189.69	0.79	11	21.54	13	5.39	C	98.83	9.91
195.18	0.4	10	26.71	8	5	B	97.94	8.65
202.58	0.53	6	29.68	1	4.88	A	96.85	9.34
209.18	0.19	12	21.1	2	4.89	C	100.19	11.07
187.21	0.58	10	24.14	14	5.69	D	84.41	8.65
185.27	0.05	9	26.19	3	3.91	A	95.79	8.95
194.14	0.92	10	25.25	4	5.24	B	97.19	10.14
